log_id,filepath
17463097,/sbin/augenrules
17463097,/bin/sh
17463097,/lib64/ld-linux-x86-64.so.2
17463098,/usr/bin/mktemp
17463098,/lib64/ld-linux-x86-64.so.2
17463099,/usr/bin/awk
17463099,/lib64/ld-linux-x86-64.so.2
17463100,/usr/bin/grep
17463100,/lib64/ld-linux-x86-64.so.2
17463101,/bin/ls
17463101,/lib64/ld-linux-x86-64.so.2
17463102,/usr/bin/cat
17463102,/lib64/ld-linux-x86-64.so.2
17463103,/usr/bin/cmp
17463103,/lib64/ld-linux-x86-64.so.2
17463104,/usr/bin/rm
17463104,/lib64/ld-linux-x86-64.so.2
17463105,/sbin/auditctl
17463105,/lib64/ld-linux-x86-64.so.2
17463205,/usr/bin/
17463340,/etc/
17463341,/etc/
17463342,/sbin/
17463343,/sbin/
17463344,/sbin/
17463349,/etc/
17463358,/usr/sbin/
17463359,/etc/
17463360,/etc/
17463361,/etc/cron.d
17463362,/etc/cron.daily
17463363,/etc/cron.hourly
17463364,/etc/cron.monthly
17463365,/etc/cron.weekly
17463366,/etc/
17463367,/var/spool/cron/crontabs
17463368,/etc/
17463369,/etc/init.d
17463370,/etc/init
17463371,/sbin/
17463372,/etc/
17463373,/etc/
17463374,/var/spool/
17463375,/etc/
17463376,/etc/systemd/system
17463377,/usr/lib/systemd/system
17463378,/run/systemd/system
17463379,/etc/
17463380,/usr/bin/
17463381,/usr/sbin/
17463382,/usr/sbin/
17463383,/usr/sbin/
17463384,/usr/sbin/
17463385,/usr/sbin/
17463386,/usr/sbin/
17463387,/usr/bin/
17463388,/usr/sbin/
17463389,/usr/sbin/
17463390,/bin/
17463391,/bin/
17463392,/bin/
17463393,/bin/
17463394,/bin/
17463395,/bin/
17463396,/sbin/
17463397,/usr/sbin/
17463398,/sbin/
17463399,/usr/sbin/
17463400,/usr/sbin/
17463401,/usr/sbin/
17463402,/usr/sbin/
17463403,/usr/sbin/
17463404,/usr/sbin/
17463405,/usr/sbin/
17463406,/usr/sbin/
17463407,/usr/bin/
17463408,/usr/bin/
17463409,/usr/bin/
17463410,/usr/bin/
17463411,/usr/bin/
17463412,/usr/bin/
17463413,/usr/bin/
17463414,/usr/bin/
17463415,/usr/bin/
17463416,/usr/bin/
17463417,/usr/bin/
17463418,/usr/bin/
17463419,/usr/bin/
17463420,/usr/bin/
17463421,/usr/bin/
17463422,/usr/bin/
17463423,/usr/bin/
17463424,/usr/bin/
17463425,/usr/bin/
17463426,/usr/bin/
17463427,/usr/bin/
17463428,/etc/pam.d
17463429,/etc/security/
17463430,/etc/security/
17463431,/etc/security/
17463432,/etc/security/
17463433,/etc/pam.d/
17463434,/bin/
17463435,/usr/bin/
17463436,/etc/
17463437,/usr/bin/
17463438,/home
17463469,/usr/bin/
17463470,/usr/bin/
17463471,/etc/
17463472,/etc/
17463473,/etc/
17463474,/etc/
17463475,/etc/security/
17463476,/usr/sbin/
17463477,/sbin/
17463478,/usr/bin/
17463479,/usr/bin/
17463480,/etc/
17463481,/sbin/
17463482,/sbin/
17463483,/etc/
17463484,/etc/
17463485,/etc/
17463486,/etc/
17463487,/etc/
17463488,/var/log/
17463489,/var/log/
17463490,/var/log/
17463491,/sbin/
17463492,/usr/sbin/
17463493,/usr/sbin/
17463494,/usr/bin/
17463495,/usr/bin/
17463496,/usr/bin/
17463497,/bin/
17463498,/usr/bin/
17463499,/usr/bin/
17463500,/usr/bin/
17463501,/usr/sbin/
17463502,/usr/sbin/
17463503,/usr/sbin/
17463504,/etc/
17463505,/etc/
17463506,/usr/bin/
17463507,/usr/bin/
17463508,/usr/bin/
17463509,/usr/bin/
17463510,/usr/sbin/
17463511,/usr/sbin/
17463512,/usr/sbin/
17463513,/usr/sbin/
17463514,/usr/bin/
17463515,/usr/bin/
17463516,/usr/bin/
17463517,/usr/bin/
17463518,/usr/bin/
17463519,/bin/
17463520,/bin/
17463521,/bin/
17463522,/usr/bin/
17463523,/usr/bin/
17463524,/usr/bin/
17463525,/usr/bin/
17463526,/bin/
17463527,/usr/bin/
17463528,/usr/bin/
17463529,/boot/grub/
17463530,/usr/bin/
17463531,/usr/bin/
17463532,/usr/bin/
17463533,/usr/bin/
17463534,/etc/
17463535,/etc/profile.d
17463536,/etc/
17463537,/etc/
17463538,/etc/
17463539,/etc/
17463540,/etc/
17463541,/root/
17463542,/root/
17463543,/etc/ssh/
17463544,/usr/bin/
17463545,/usr/bin/
17463546,/home/student/secret/secret.txt
17463547,/home/student/secret/
17463551,./run-attack.sh
17463551,/bin/bash
17463551,/lib64/ld-linux-x86-64.so.2
17463552,/usr/bin/sudo
17463552,/lib64/ld-linux-x86-64.so.2
17463554,/etc/sudoers
17463555,/etc/shadow
17463560,/home/attacker/local/nginx/sbin/nginx
17463560,/lib64/ld-linux-x86-64.so.2
17463561,/home/attacker/local/nginx/logs/
17463561,/home/attacker/local/nginx/logs/error.log
17463562,/home/attacker/local/nginx/conf/nginx.conf
17463563,/home/attacker/local/nginx/conf/mime.types
17463564,/home/attacker/local/nginx/
17463565,/home/attacker/local/nginx/client_body_temp
17463566,/home/attacker/local/nginx/
17463567,/home/attacker/local/nginx/proxy_temp
17463568,/home/attacker/local/nginx/
17463569,/home/attacker/local/nginx/fastcgi_temp
17463570,/home/attacker/local/nginx/
17463571,/home/attacker/local/nginx/uwsgi_temp
17463572,/home/attacker/local/nginx/
17463573,/home/attacker/local/nginx/scgi_temp
17463574,/home/attacker/local/nginx/logs/
17463574,/home/attacker/local/nginx/logs/access.log
17463575,/home/attacker/local/nginx/logs/
17463575,/home/attacker/local/nginx/logs/error.log
17463576,/home/attacker/local/nginx/logs/
