log_id,pid,syscall,key,arguments
17467222,44990,sendto,(null),"3, 7ffcd0fc2210, 38, 0"
17467223,44994,execve,CMD_T1059_1,"55636b50cee0, 55636b68e5f0, 55636b6653c0, 55636b50cfc0"
17467224,44995,execve,CMD_T1059_1,"562dafd2bc90, 562dafd2bc30, 562dafd2bc48, 7fb7b3cfe010"
17467225,44997,execve,CMD_T1059_1,"562db17ebe70, 562db17eeb88, 562db17ebe28, 7fb7b3cfe010"
17467226,45000,execve,CMD_T1059_1,"562db17ee758, 562db17ee6f8, 562db17ee710, 7fb7b3cfe010"
17467227,44999,execve,CMD_T1059_1,"562db17ee6b8, 562db17ee718, 562db17ee738, 53"
17467228,45001,execve,CMD_T1059_1,"562db17ee788, 562db17ee728, 562db17ee740, 7fb7b3d8d850"
17467229,45002,execve,CMD_T1059_1,"562db17eb950, 562db17eb8c0, 562db17eb908, 8"
17467230,45003,execve,CMD_T1059_1,"562db17ec168, 562db17ec100, 562db17ec120, 8"
17467231,45004,execve,CMD_T1059_1,"562db17ec0d8, 562db17ec140, 562db17ec160, 8"
17467232,45004,sendto,(null),"3, 7ffe6c5d76d0, 428, 0"
17467233,45004,sendto,(null),"3, 7ffe6c5d76d0, 428, 0"
17467234,45004,sendto,(null),"3, 7ffe6c5d76d0, 440, 0"
17467235,45004,sendto,(null),"3, 7ffe6c5d76d0, 448, 0"
17467236,45004,sendto,(null),"3, 7ffe6c5d76d0, 440, 0"
17467237,45004,sendto,(null),"3, 7ffe6c5d76d0, 444, 0"
17467238,45004,sendto,(null),"3, 7ffe6c5d76d0, 440, 0"
17467239,45004,sendto,(null),"3, 7ffe6c5d76d0, 434, 0"
17467240,45004,sendto,(null),"3, 7ffe6c5d76d0, 434, 0"
17467241,45004,sendto,(null),"3, 7ffe6c5d76d0, 430, 0"
17467242,45004,sendto,(null),"3, 7ffe6c5d76d0, 430, 0"
17467243,45004,sendto,(null),"3, 7ffe6c5d76d0, 444, 0"
17467244,45004,sendto,(null),"3, 7ffe6c5d76d0, 434, 0"
17467245,45004,sendto,(null),"3, 7ffe6c5d76d0, 434, 0"
17467246,45004,sendto,(null),"3, 7ffe6c5d76d0, 434, 0"
17467247,45004,sendto,(null),"3, 7ffe6c5d76d0, 434, 0"
17467248,45004,sendto,(null),"3, 7ffe6c5d76d0, 434, 0"
